gender,event,medal,athlete,abb,country,type,year
Men,Double FITA Round Amputee,Silver,BRENNE Manfred,FRG,Germany,Archery,1980
Men,Double FITA Round Paraplegic,Gold,GEISS H.,FRG,Germany,Archery,1980
Men,Double FITA Round Paraplegic,Bronze,BUCHANAN J.,GBR,Great Britain,Archery,1980
Men,Double FITA Round Tetraplegic,Gold,PARKER T.,CAN,Canada,Archery,1980
Men,Double FITA Round Tetraplegic,Bronze,LAFONT G.,FRA,France,Archery,1980
Men,Double FITA Round Novice Paraplegic,Silver,WALSTRA Jappie,NED,Netherlands,Archery,1980
Men,Double FITA Round Novice Paraplegic,Bronze,VAN DER LIEFVOORT H.,NED,Netherlands,Archery,1980
Men,Double FITA Round Novice Tetraplegic,Bronze,ANDERSSON-TANNERSTAD Kent,SWE,Sweden,Archery,1980
Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,France,Archery,1980
Men,Short Metric Round Paraplegic,Silver,ZEISE L.,USA,USA,Archery,1980
Men,Short Metric Round Paraplegic,Bronze,THION J.,FRA,France,Archery,1980
Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,FRG,Germany,Archery,1980
Men,Short Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,Australia,Archery,1980
Women,Double FITA Round Amputee,Silver,KWIECINSKA Ewa,POL,Poland,Archery,1980
Women,Double FITA Round Amputee,Bronze,HYBOIS Marie-Francoise,FRA,France,Archery,1980
Women,Double FITA Round Paraplegic,Bronze,DERSEN Anneliese,FRG,Germany,Archery,1980
Women,Short Metric Round Paraplegic,Silver,WILLIAMSON Valerie,GBR,Great Britain,Archery,1980
Women,Advanced Metric Round Paraplegic,Gold,UNSICKER K.,USA,USA,Archery,1980
Women,Advanced Metric Round Paraplegic,Bronze,MATTHEWS G.,GBR,Great Britain,Archery,1980
Men,Double FITA Round Team Amputee,Gold,BRENNE Manfred,FRG,Germany,Archery,1980
Men,Double FITA Round Team Amputee,Gold,BUTENHOFF Hilmar,FRG,Germany,Archery,1980
Men,Double FITA Round Team Amputee,Gold,POHL K.,FRG,Germany,Archery,1980
Men,Double FITA Round Team Amputee,Silver,APPELKVIST Sune,SWE,Sweden,Archery,1980
Men,Double FITA Round Team Amputee,Silver,BABKIN Nicolai,SWE,Sweden,Archery,1980
Men,Double FITA Round Team Amputee,Silver,CARSSON Jan O.,SWE,Sweden,Archery,1980
Men,Double FITA Round Team Paraplegic,Silver,BUCHANAN J.CORRIE Alan,GBR,Great Britain,Archery,1980
Men,Double FITA Round Team Paraplegic,Silver,SMITH I.,GBR,Great Britain,Archery,1980
Men,Double FITA Round Team Paraplegic,Bronze,GEISS H.PFEFFER U.SCHMIDBERGER R.,FRG,Germany,Archery,1980
Men,Double FITA Round C1-C2,Gold,BAREFOOT David,CAN,Canada,Archery,1984
Men,"Double FITA Round C3,C6",Gold,THORNE Philip,GBR,Great Britain,Archery,1984
Men,Double FITA Round Div. 3,Bronze,TANQUEREL Benoit,FRA,France,Archery,1984
Men,Double FITA Round Integrated,Gold,THULIN Jan,SWE,Sweden,Archery,1984
Men,Double FITA Round Integrated,Silver,REBOLLO Antonio,ESP,Spain,Archery,1984
Men,Double FITA Round Paraplegic,Silver,WEIJERS J.,NED,Netherlands,Archery,1984
Men,Double FITA Round Tetraplegic,Silver,KONEMAN K.,NED,Netherlands,Archery,1984
Men,Double Short Metric Round Tetraplegic,Gold,HOLM Kenneth,SWE,Sweden,Archery,1984
Men,Double Advanced Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,France,Archery,1984
Men,Double Advanced Metric Round Paraplegic,Silver,BOUCHITE C.,FRA,France,Archery,1984
Men,Double Advanced Metric Round Paraplegic,Bronze,KRISHNER Patrick,USA,USA,Archery,1984
Men,Double Advanced Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,Australia,Archery,1984
Men,Double Advanced Metric Round Tetraplegic,Bronze,ARNOLD Ernest,GBR,Great Britain,Archery,1984
Women,Double FITA Round Div. 3,Gold,HILDERLEY Helen,GBR,Great Britain,Archery,1984
Women,Double FITA Round Div. 3,Silver,LEAPER Beverley,GBR,Great Britain,Archery,1984
Women,Double FITA Round Integrated,Gold,DERSEN Anneliese,FRG,Germany,Archery,1984
Women,Double FITA Round Paraplegic,Gold,HAGEL Susan,USA,USA,Archery,1984
Women,Double FITA Round Paraplegic,Bronze,DAVIES Susan,AUS,Australia,Archery,1984
Women,Double Short Metric Round Paraplegic,Gold,BALME M. P.,FRA,France,Archery,1984
Women,Double Short Metric Round Paraplegic,Bronze,GRAY Anne,GBR,Great Britain,Archery,1984
Men,Double FITA Round Team Integrated,Gold,AHLINDER S.BABKIN Nicolai,SWE,Sweden,Archery,1984
Men,Double FITA Round Team Integrated,Gold,TJERNELL Arne,SWE,Sweden,Archery,1984
Men,Double FITA Round Team Integrated,Silver,DUCRET Rene,FRA,France,Archery,1984
Men,Double FITA Round Team Integrated,Silver,HAMART George,FRA,France,Archery,1984
Men,Double FITA Round Team Integrated,Silver,LELON Daniel,FRA,France,Archery,1984
Men,Double FITA Round Team Integrated,Bronze,BOECKERS Manfred,FRG,Germany,Archery,1984
Men,Double FITA Round Team Integrated,Bronze,BRENNE Manfred,FRG,Germany,Archery,1984
Men,Double FITA Round Team Integrated,Bronze,BUTENHOFF Kilmar,FRG,Germany,Archery,1984
Men,Double FITA Round Open,Bronze,REBOLLO Antonio,ESP,Spain,Archery,1988
Men,Double FITA Round 2-6,Bronze,WOLF Udo,FRG,Germany,Archery,1988
Men,Double Short Metric Round 1A-1C,Bronze,STAUNER Michael,USA,USA,Archery,1988
Women,Double FITA Round Open,Silver,DERSEN Anneliese,FRG,Germany,Archery,1988
Women,Double FITA Round 2-6,Gold,WATTS Karen,GBR,Great Britain,Archery,1988
Men,Double FITA Round Team Open,Bronze,COURTILLON Lucien,FRA,France,Archery,1988
Men,Double FITA Round Team Open,Bronze,FAVRE Jean-Michel,FRA,France,Archery,1988
Men,Double FITA Round Team Open,Bronze,LELOU Daniel,FRA,France,Archery,1988
Women,Double FITA Round Team 2-6,Gold,ANIC Wilma,GBR,Great Britain,Archery,1988
Women,Double FITA Round Team 2-6,Gold,COOPER Joan,GBR,Great Britain,Archery,1988
Women,Double FITA Round Team 2-6,Gold,WATTS Karen,GBR,Great Britain,Archery,1988
Women,Double FITA Round Team 2-6,Silver,DROSDZIOK Ursula,FRG,Germany,Archery,1988
Women,Double FITA Round Team 2-6,Silver,ENZMANN Inge,FRG,Germany,Archery,1988
Women,Double FITA Round Team 2-6,Silver,KIEBLICH Karin,FRG,Germany,Archery,1988
Men,Individual AR1,Silver,SPIZZIRRI Richard,USA,USA,Archery,1992
Men,Individual AR2,Silver,NORTMANN Hermann,GER,Germany,Archery,1992
Men,Individual AR2,Bronze,WOLF Udo,GER,Germany,Archery,1992
Women,Individual Open,Silver,THULIN Siv,SWE,Sweden,Archery,1992
Men,Teams AR2,Gold,BAHLS Karl,GER,Germany,Archery,1992
Men,Teams AR2,Gold,NORTMANN Hermann,GER,Germany,Archery,1992
Men,Teams AR2,Gold,WOLF Udo,GER,Germany,Archery,1992
Men,Teams Open,Silver,FERNANDEZ Jose,ESP,Spain,Archery,1992
Men,Teams Open,Silver,HERMOSIN Jose Luis,ESP,Spain,Archery,1992
Men,Teams Open,Silver,REBOLLO Antonio,ESP,Spain,Archery,1992
Men,Teams Open,Bronze,FAVRE Jean-Michel,FRA,France,Archery,1992
Men,Teams Open,Bronze,GARCIA Jean Francois,FRA,France,Archery,1992
Men,Teams Open,Bronze,LE BRAS Rene,FRA,France,Archery,1992
Men,Individual W2,Silver,WALSTRA Jappie,NED,Netherlands,Archery,1996
Men,Individual W2,Bronze,WOLF Udo,GER,Germany,Archery,1996
Men,Individual Standing,Gold,OLEJNIK Ryszard,POL,Poland,Archery,1996
Men,Individual Standing,Silver,GARCIA Jean Francois,FRA,France,Archery,1996
Women,Individual Standing,Gold,OLEJNIK Malgorzata,POL,Poland,Archery,1996
Women,Individual Standing,Silver,CHAPMAN Anita,GBR,Great Britain,Archery,1996
Women,Individual Standing,Bronze,HYBOIS Marie-Francoise,FRA,France,Archery,1996
Men,Teams W1/W2,Gold,NORTMANN Hermann,GER,Germany,Archery,1996
Men,Teams W1/W2,Gold,OEHME Mario,GER,Germany,Archery,1996
Men,Teams W1/W2,Gold,WOLF Udo,GER,Germany,Archery,1996
Men,Teams Standing,Silver,JONSKI Stanislaw,POL,Poland,Archery,1996
Men,Teams Standing,Silver,LEZANSKI Tomasz,POL,Poland,Archery,1996
Men,Teams Standing,Silver,OLEJNIK Ryszard,POL,Poland,Archery,1996
Women,Teams Open,Bronze,CHAPMAN Anita,GBR,Great Britain,Archery,1996
Women,Teams Open,Bronze,GALE Rebecca,GBR,Great Britain,Archery,1996
Women,Teams Open,Bronze,SMITH Kathleen,GBR,Great Britain,Archery,1996
Men,Individual W1,Silver,HATEM Olivier,FRA,France,Archery,2000
Men,Individual W1,Bronze,MILADINOVIC Dejan,FRA,France,Archery,2000
Women,Individual W1/W2,Silver,SMITH Kathleen,GBR,Great Britain,Archery,2000
Women,Individual Standing,Gold,CHAPMAN Anita,GBR,Great Britain,Archery,2000
Women,Individual Standing,Silver,OLEJNIK Malgorzata,POL,Poland,Archery,2000
Women,Individual Standing,Bronze,KORZENIOWSKA Malgorzata,POL,Poland,Archery,2000
Men,Teams Open,Silver,EST Charles,FRA,France,Archery,2000
Men,Teams Open,Silver,HATEM Olivier,FRA,France,Archery,2000
Men,Teams Open,Silver,MILADINOVIC Dejan,FRA,France,Archery,2000
Women,Teams Open,Silver,CHAPMAN Anita,GBR,Great Britain,Archery,2000
Women,Teams Open,Silver,SMITH Kathleen,GBR,Great Britain,Archery,2000
Women,Teams Open,Silver,WHITE Jane,GBR,Great Britain,Archery,2000
Men,Individual W1,Gold,CAVANAGH John,GBR,Great Britain,Archery,2004
Men,Individual W1,Silver,GROENBERG Anders,SWE,Sweden,Archery,2004
Men,Individual W1,Bronze,FABRY Jeffrey,USA,USA,Archery,2004
Men,Individual W2,Gold,OEHME Mario,GER,Germany,Archery,2004
Men,Individual Standing,Silver,LEZANSKI Tomasz,POL,Poland,Archery,2004
Women,Individual Standing,Gold,WANG Yanhong,CHN,China,Archery,2004
Women,Individual Standing,Bronze,OLEJNIK Malgorzata,POL,Poland,Archery,2004
Men,Teams Open,Bronze,CROSS Aaron,USA,USA,Archery,2004
Men,Teams Open,Bronze,FABRY Jeffrey,USA,USA,Archery,2004
Men,Teams Open,Bronze,STONE Kevin,USA,USA,Archery,2004
Women,Teams Open,Gold,CHAPMAN Anita,GBR,Great Britain,Archery,2004
Women,Teams Open,Gold,PARKER Margaret,GBR,Great Britain,Archery,2004
Women,Teams Open,Gold,SMITH Kathleen,GBR,Great Britain,Archery,2004
Men,Individual Compound W1,Silver,CAVANAGH John,GBR,Great Britain,Archery,2008
Men,Individual Compound W1,Bronze,FABRY Jeff,USA,USA,Archery,2008
Men,Individual Compound Open,Gold,STUBBS John,GBR,Great Britain,Archery,2008
Men,Individual Recurve W1/W2,Gold,CHENG Changjie,CHN,China,Archery,2008
Men,Individual Recurve Standing,Silver,MEUNIER Fabrice,FRA,France,Archery,2008
Men,Individual Recurve Standing,Bronze,CHEN Yegang,CHN,China,Archery,2008
Women,Individual Compound Open,Gold,BROWN Danielle,GBR,Great Britain,Archery,2008
Women,Individual Compound Open,Bronze,CLARKE Mel,GBR,Great Britain,Archery,2008
Women,Individual Recurve W1/W2,Silver,FU Hongzhi,CHN,China,Archery,2008
Women,Individual Recurve W1/W2,Bronze,XIAO Yanhong,CHN,China,Archery,2008
Women,Individual Recurve Standing,Silver,GAO Fangxia,CHN,China,Archery,2008
Women,Individual Recurve Standing,Bronze,CARMICHAEL Lindsey,USA,USA,Archery,2008
Men,Team Recurve Open,Silver,CHEN Yegang,CHN,China,Archery,2008
Men,Team Recurve Open,Silver,CHENG Changjie,CHN,China,Archery,2008
Men,Team Recurve Open,Silver,DONG Zhi,CHN,China,Archery,2008
Women,Team Recurve Open,Gold,FU Hongzhi,CHN,China,Archery,2008
Women,Team Recurve Open,Gold,GAO Fangxia,CHN,China,Archery,2008
Women,Team Recurve Open,Gold,XIAO Yanhong,CHN,China,Archery,2008
Men,Individual Compound W1,Gold,FABRY Jeff,USA,USA,Archery,2012
Men,Individual Compound W1,Bronze,MURPHY Norbert,CAN,Canada,Archery,2012
Men,Individual Compound Open,Silver,STUTZMAN Matt,USA,USA,Archery,2012
Women,Individual Compound Open,Gold,BROWN Danielle,GBR,Great Britain,Archery,2012
Women,Individual Compound Open,Silver,CLARKE Mel,GBR,Great Britain,Archery,2012
Women,Individual Recurve W1/W2,Bronze,LI Jinzhi,CHN,China,Archery,2012
Women,Individual Recurve Standing,Gold,YAN Huilian,CHN,China,Archery,2012
Women,Individual Recurve Standing,Bronze,OLSZEWSKA Milena,POL,Poland,Archery,2012
Men,Team Recurve Open,Bronze,CHENG Changjie,CHN,China,Archery,2012
Men,Team Recurve Open,Bronze,DONG Zhi,CHN,China,Archery,2012
Men,Team Recurve Open,Bronze,LI Zongshan,CHN,China,Archery,2012
Women,Team Recurve Open,Silver,GAO Fangxia,CHN,China,Archery,2012
Women,Team Recurve Open,Silver,XIAO Yanhong,CHN,China,Archery,2012
Women,Team Recurve Open,Silver,YAN Huilian,CHN,China,Archery,2012
Men,Individual W1,Gold,WALKER John,GBR,Great Britain,Archery,2016
Men,Individual Compound Open,Gold,SHELBY Andre,USA,USA,Archery,2016
Men,Individual Compound Open,Bronze,MILNE Jonathon,AUS,Australia,Archery,2016
Women,Individual W1,Gold,STRETTON Jessica,GBR,Great Britain,Archery,2016
Women,Individual W1,Silver,FRITH Jo,GBR,Great Britain,Archery,2016
Women,Individual W1,Bronze,JENKINS Vicky,GBR,Great Britain,Archery,2016
Women,Individual Compound Open,Gold,ZHOU Jiamin,CHN,China,Archery,2016
Women,Individual Compound Open,Silver,LIN Yueshan,CHN,China,Archery,2016
Women,Individual Recurve Open,Silver,WU Chunyan,CHN,China,Archery,2016
Women,Individual Recurve Open,Bronze,OLSZEWSKA Milena,POL,Poland,Archery,2016
Men,60 m 1A,Silver,BIRCH G.,CAN,Canada,Athletics,1980
Men,60 m 1B,Gold,HEDMAN Leif,SWE,Sweden,Athletics,1980
Men,60 m A,Gold,MCLEOD William,GBR,Great Britain,Athletics,1980
Men,60 m A,Silver,COPELAND Melvin,USA,USA,Athletics,1980
Men,60 m A,Bronze,KOZUCH Ryszard,POL,Poland,Athletics,1980
Men,80 m CP C,Gold,HAVARD Andre,FRA,France,Athletics,1980
Men,80 m CP C,Silver,HARBORN Tony,SWE,Sweden,Athletics,1980
Men,80 m CP C,Bronze,SWAHN Bertil,SWE,Sweden,Athletics,1980
Men,80 m CP D,Silver,DUVIVIER,FRA,France,Athletics,1980
Men,80 m CP D,Bronze,GRAHAM Arthur,USA,USA,Athletics,1980
Men,100 m B,Gold,LANDOS Jerzy,POL,Poland,Athletics,1980
Men,100 m B,Silver,HAYNES Winford,USA,USA,Athletics,1980
Men,100 m B,Bronze,POKRYWKA Jozef,POL,Poland,Athletics,1980
Men,100 m C,Gold,BELANGER Magella,CAN,Canada,Athletics,1980
Men,100 m C,Silver,WILLS Tony,CAN,Canada,Athletics,1980
Men,100 m C,Bronze,EGAN Joe,AUS,Australia,Athletics,1980
Men,100 m C1,Gold,LAPALME Denis,CAN,Canada,Athletics,1980
Men,100 m C1,Bronze,PIATKOWSKI Henryk,POL,Poland,Athletics,1980
Men,100 m D,Gold,WAGNER K.,FRG,Germany,Athletics,1980
Men,100 m D,Silver,HARRISON J.,CAN,Canada,Athletics,1980
Men,100 m D,Bronze,WILL K.,FRG,Germany,Athletics,1980
Men,100 m E,Silver,KRAUZ Jan,POL,Poland,Athletics,1980
Men,100 m F,Gold,LANHAM,AUS,Australia,Athletics,1980
Men,100 m F1,Gold,BERG Matthias,FRG,Germany,Athletics,1980
Men,100 m F1,Silver,PEART C.,CAN,Canada,Athletics,1980
Men,100 m F1,Bronze,SCHARMENTKE R.,FRG,Germany,Athletics,1980
Men,100 m 2,Bronze,KERR Gary,USA,USA,Athletics,1980
Men,100 m 3,Gold,LOFSTROM Lars,SWE,Sweden,Athletics,1980
Men,100 m 3,Bronze,ALP Chris,AUS,Australia,Athletics,1980
Men,100 m 4,Gold,PARKS B.,USA,USA,Athletics,1980
Men,100 m 4,Silver,JOHANSSON Rolf,SWE,Sweden,Athletics,1980
Men,100 m 4,Bronze,OLIVER Richard,AUS,Australia,Athletics,1980
Men,100 m 5,Silver,FITZGERALD M.,CAN,Canada,Athletics,1980
Men,100 m 5,Bronze,HUBEL Erich,AUS,Australia,Athletics,1980
Men,100 m D1 wheelchairs,Gold,MARTINSON Jim,USA,USA,Athletics,1980
Men,100 m D1 wheelchairs,Silver,BRINKMAN C.,USA,USA,Athletics,1980
Men,200 m 2,Silver,KERR Gary,USA,USA,Athletics,1980
Men,200 m 3,Gold,NUGENT Michael,AUS,Australia,Athletics,1980
Men,200 m 3,Bronze,ALP Chris,AUS,Australia,Athletics,1980
Men,400 m A,Gold,YORK Patrick,CAN,Canada,Athletics,1980
Men,400 m A,Silver,MEYER Klaus,FRG,Germany,Athletics,1980
Men,400 m A,Bronze,VISSER J. W.,NED,Netherlands,Athletics,1980
Men,400 m B,Gold,LANDOS Jerzy,POL,Poland,Athletics,1980
Men,400 m B,Silver,POKRYWKA Jozef,POL,Poland,Athletics,1980
Men,400 m C,Gold,JOHANN Jurgen,FRG,Germany,Athletics,1980
Men,400 m C,Bronze,EGAN Joe,AUS,Australia,Athletics,1980
Men,400 m C1,Silver,MAMINSKI Mieczyslaw,POL,Poland,Athletics,1980
Men,400 m D,Gold,HARRISON J.,CAN,Canada,Athletics,1980
Men,400 m D,Silver,WILL K.,FRG,Germany,Athletics,1980
Men,400 m D,Bronze,WAGNER K.,FRG,Germany,Athletics,1980
Men,400 m E,Silver,KRAUZ Jan,POL,Poland,Athletics,1980
Men,400 m F,Gold,WIERZBICKI Marian,POL,Poland,Athletics,1980
Men,400 m F,Silver,LANHAM,AUS,Australia,Athletics,1980
Men,400 m F1,Gold,BERG Matthias,FRG,Germany,Athletics,1980
Men,400 m F1,Silver,SCHARMENTKE R.,FRG,Germany,Athletics,1980
Men,400 m F1,Bronze,PEART C.,CAN,Canada,Athletics,1980
Men,400 m 2,Silver,KERR Gary,USA,USA,Athletics,1980
Men,400 m 3,Silver,NUGENT Michael,AUS,Australia,Athletics,1980
Men,400 m 3,Bronze,POINTER Fred,AUS,Australia,Athletics,1980
Men,400 m D1 wheelchairs,Gold,BRINKMAN C.,USA,USA,Athletics,1980
Men,400 m D1 wheelchairs,Silver,MARTINSON Jim,USA,USA,Athletics,1980
Men,400 m D1 wheelchairs,Bronze,FINCH J.,USA,USA,Athletics,1980
Men,800 m CP C,Gold,SHAWN Bertil,SWE,Sweden,Athletics,1980
Men,800 m CP C,Silver,HARBORN Tony,SWE,Sweden,Athletics,1980
Men,800 m CP D,Gold,ANDERSSON Jonas,SWE,Sweden,Athletics,1980
Men,800 m CP D,Bronze,DUVIVIER,FRA,France,Athletics,1980
Men,800 m 4,Gold,HANSEN R.,CAN,Canada,Athletics,1980
Men,800 m 4,Silver,PARKS B.,USA,USA,Athletics,1980
Men,800 m 5,Gold,FITZGERALD M.,CAN,Canada,Athletics,1980
Men,800 m 5,Silver,HUBEL Erich,AUS,Australia,Athletics,1980
Men,800 m 5,Bronze,ROEK E. H.,NED,Netherlands,Athletics,1980
Men,1500 m A,Gold,PILON Jacques,CAN,Canada,Athletics,1980
Men,1500 m B,Gold,ENGLISH P.,CAN,Canada,Athletics,1980
Men,1500 m B,Silver,STANSELL Leamon,USA,USA,Athletics,1980
Men,1500 m B,Bronze,SANDILANDS B.,AUS,Australia,Athletics,1980
Men,1500 m E,Silver,FACEY C.,CAN,Canada,Athletics,1980
Men,1500 m E,Bronze,KRAUZ Jan,POL,Poland,Athletics,1980
Men,1500 m F,Gold,SCHROEDER Karl,FRG,Germany,Athletics,1980
Men,1500 m F,Silver,ALEXANDRE J.,FRA,France,Athletics,1980
Men,1500 m F,Bronze,SANTOS J.,ESP,Spain,Athletics,1980
Men,1500 m 4,Gold,PARKS B.,USA,USA,Athletics,1980
Men,1500 m 4,Silver,HANSEN R.,CAN,Canada,Athletics,1980
Men,1500 m 5,Gold,FITZGERALD M.,CAN,Canada,Athletics,1980
Men,1500 m 5,Silver,ROEK E. H.,NED,Netherlands,Athletics,1980
Men,1500 m 5,Bronze,HUBEL Erich,AUS,Australia,Athletics,1980
Men,5000 m Walk B,Gold,HOWIE D.,GBR,Great Britain,Athletics,1980
Men,5000 m Walk B,Silver,O'NEIL Gerald,USA,USA,Athletics,1980
Men,5000 m Walk B,Bronze,MORTEN E.,CAN,Canada,Athletics,1980
Men,Slalom 1A,Bronze,BATT E.,CAN,Canada,Athletics,1980
Men,Slalom 1B,Silver,SLIJKERMAN C. J. M.,NED,Netherlands,Athletics,1980
Men,Slalom 1B,Bronze,VAN DER BELT J.,NED,Netherlands,Athletics,1980
Men,Slalom F1,Gold,BRAND Andreas,FRG,Germany,Athletics,1980
Men,Slalom F1,Silver,BERG Matthias,FRG,Germany,Athletics,1980
Men,Slalom 3,Silver,GOLOMBEK Gregor,FRG,Germany,Athletics,1980
Men,Slalom 3,Bronze,POINTER Fred,AUS,Australia,Athletics,1980
Men,Slalom 4,Bronze,MINOR R.,CAN,Canada,Athletics,1980
Men,Slalom 5,Bronze,MCINTYRE Robert,AUS,Australia,Athletics,1980
Men,High Jump A,Gold,LAMBIER E.,CAN,Canada,Athletics,1980
Men,High Jump A,Silver,WRIGHT Robert,USA,USA,Athletics,1980
Men,High Jump A,Bronze,BOWMAN John,USA,USA,Athletics,1980
Men,High Jump B,Bronze,KNORRS W.,FRG,Germany,Athletics,1980
Men,High Jump C,Gold,JOHANN Jurgen,FRG,Germany,Athletics,1980
Men,High Jump C,Silver,WILLS Tony,CAN,Canada,Athletics,1980
Men,High Jump D,Gold,BOLDT Arnold,CAN,Canada,Athletics,1980
Men,High Jump D,Silver,WILLIS Anthony,GBR,Great Britain,Athletics,1980
Men,High Jump D,Bronze,KOLODZIE Norbert,FRG,Germany,Athletics,1980
Men,High Jump E,Gold,KRAUZ Jan,POL,Poland,Athletics,1980
Men,High Jump E,Bronze,GARCIA Andres,ESP,Spain,Athletics,1980
Men,Long Jump A,Bronze,BOURDEAU Yvan,CAN,Canada,Athletics,1980
Men,Long Jump B,Gold,PAWLIK Andrzej,POL,Poland,Athletics,1980
Men,Long Jump B,Bronze,KNORRS W.,FRG,Germany,Athletics,1980
Men,Long Jump C,Silver,JOHANN Jurgen,FRG,Germany,Athletics,1980
Men,Long Jump CP C,Silver,FICARO Salvin,USA,USA,Athletics,1980
Men,Long Jump CP C,Bronze,ROS Rick,USA,USA,Athletics,1980
Men,Long Jump CP D,Gold,PIERRE B.,FRA,France,Athletics,1980
Men,Long Jump CP D,Silver,ANDERSSON Jonas,SWE,Sweden,Athletics,1980
Men,Long Jump D,Gold,BOLDT Arnold,CAN,Canada,Athletics,1980
Men,Long Jump D,Silver,BOTTEMANNE Bert,NED,Netherlands,Athletics,1980
Men,Long Jump D,Bronze,KOLODZIE Norbert,FRG,Germany,Athletics,1980
Men,Long Jump E,Gold,KRAUZ Jan,POL,Poland,Athletics,1980
Men,Long Jump E,Silver,GARCIA Andres,ESP,Spain,Athletics,1980
Men,Long Jump E,Bronze,DABROWSKI Jerzy,POL,Poland,Athletics,1980
Men,Long Jump F,Gold,WIERZBICKI Marian,POL,Poland,Athletics,1980
Men,Long Jump F1,Gold,BERG Matthias,FRG,Germany,Athletics,1980
Men,Long Jump F1,Silver,PEART C.,CAN,Canada,Athletics,1980
Men,Long Jump F1,Bronze,SCHARMENTKE R.,FRG,Germany,Athletics,1980
Men,Triple Jump A,Gold,DIPOWIDJOJO Soedjeman,NED,Netherlands,Athletics,1980
Men,Triple Jump A,Silver,KOZUCH Ryszard,POL,Poland,Athletics,1980
Men,Triple Jump B,Gold,PAWLIK Andrzej,POL,Poland,Athletics,1980
Men,Triple Jump B,Silver,ALVAREZ N.,ESP,Spain,Athletics,1980
Men,Shot Put 1A,Gold,PATCHETT Wayne,AUS,Australia,Athletics,1980
Men,Shot Put 1A,Silver,WEBER Edund,FRG,Germany,Athletics,1980
Men,Shot Put 1A,Bronze,WILKINS S.,USA,USA,Athletics,1980
Men,Shot Put 1B,Silver,DUVAL Julius,USA,USA,Athletics,1980
Men,Shot Put 1B,Bronze,DONAHUE J.,CAN,Canada,Athletics,1980
Men,Shot Put 1C,Gold,SPIESS Guenter,FRG,Germany,Athletics,1980
Men,Shot Put 1C,Silver,HENKER Siegmar,FRG,Germany,Athletics,1980
Men,Shot Put A,Gold,NEPPL James,USA,USA,Athletics,1980
Men,Shot Put A,Bronze,GRUNDMANN Dieter,FRG,Germany,Athletics,1980
Men,Shot Put B,Gold,KARLSSON Gosta,SWE,Sweden,Athletics,1980
Men,Shot Put B,Silver,MASTRO James,USA,USA,Athletics,1980
Men,Shot Put B,Bronze,GODLEWSKI Andrzej,POL,Poland,Athletics,1980
Men,Shot Put C,Gold,JOSEFIAK Hans,FRG,Germany,Athletics,1980
Men,Shot Put C,Bronze,KUEHNEL E.,FRG,Germany,Athletics,1980
Men,Shot Put C1,Gold,MAMINSKI Mieczyslaw,POL,Poland,Athletics,1980
Men,Shot Put C1,Bronze,PIATKOWSKI Henryk,POL,Poland,Athletics,1980
Men,Shot Put CP D,Gold,BECKE Tom,USA,USA,Athletics,1980
Men,Shot Put D,Gold,POPLAWSKI Andrzej,POL,Poland,Athletics,1980
Men,Shot Put D,Silver,ZMITROWICZ Andrzej,POL,Poland,Athletics,1980
Men,Shot Put D,Bronze,DORST G.,FRG,Germany,Athletics,1980
Men,Shot Put D1,Gold,JEROME John,USA,USA,Athletics,1980
Men,Shot Put D1,Silver,BRYANT Richard,USA,USA,Athletics,1980
Men,Shot Put E,Gold,BEEZ Alois,FRG,Germany,Athletics,1980
Men,Shot Put E,Silver,DABROWSKI Jerzy,POL,Poland,Athletics,1980
Men,Shot Put F,Silver,LEONARD Dan,CAN,Canada,Athletics,1980
Men,Shot Put F,Bronze,KERN Juergen,FRG,Germany,Athletics,1980
Men,Shot Put J,Gold,PALUCH Stanislaw,POL,Poland,Athletics,1980
Men,Shot Put J,Silver,SADLER Philip,GBR,Great Britain,Athletics,1980
Men,Shot Put J,Bronze,VINCENT D.,CAN,Canada,Athletics,1980
Men,Shot Put 2,Gold,TODD Murray,AUS,Australia,Athletics,1980
Men,Shot Put 2,Silver,HERTLE Walter,FRG,Germany,Athletics,1980
Men,Shot Put 3,Gold,RUSSELL Eric,AUS,Australia,Athletics,1980
Men,Shot Put 4,Gold,LYONS D.,CAN,Canada,Athletics,1980
Men,Shot Put 4,Silver,GREGG S.,GBR,Great Britain,Athletics,1980
Men,Shot Put 4,Bronze,SCHUHBAUER Johann,FRG,Germany,Athletics,1980
Men,Shot Put 5,Gold,CLARK Raymond,SWE,Sweden,Athletics,1980
Men,Shot Put 5,Silver,SKRZYPEK Jerzy,POL,Poland,Athletics,1980
Men,Shot Put 5,Bronze,KOWALIK Jacek,POL,Poland,Athletics,1980
Men,Discus Throw 1A,Gold,PATCHETT Wayne,AUS,Australia,Athletics,1980
Men,Discus Throw 1A,Silver,WEBER Edund,FRG,Germany,Athletics,1980
Men,Discus Throw 1B,Gold,DUVAL Julius,USA,USA,Athletics,1980
Men,Discus Throw 1C,Bronze,JAGIELA Jozef,POL,Poland,Athletics,1980
Men,Discus Throw A,Silver,GRUNDMANN Dieter,FRG,Germany,Athletics,1980
