name,sex,age,height,weight,bmi,country,year,season,team,sport,medal
Anastasiya Valerivna Borodina,F,22.0,192.0,75.0,20.35,Ukraine,2004,Summer,Ukraine,Handball,Bronze
Kathrin Boron (-Kppen),F,34.0,184.0,77.0,22.74,Germany,2004,Summer,Germany,Rowing,Gold
Kathrin Boron (-Kppen),F,38.0,184.0,77.0,22.74,Germany,2008,Summer,Germany,Rowing,Bronze
Ismael Borrero Molina,M,24.0,160.0,59.0,23.05,Cuba,2016,Summer,Cuba,Wrestling,Gold
Luis Borroto Jimnez,M,21.0,185.0,78.0,22.79,Cuba,2004,Summer,Cuba,Baseball,Gold
Nataliya Serhivna Borysenko,F,28.0,188.0,72.0,20.37,Ukraine,2004,Summer,Ukraine,Handball,Bronze
Yury Mikhaylovich Borzakovsky,M,23.0,183.0,70.0,20.9,Russia,2004,Summer,Russia,Athletics,Gold
Jan Bos,M,26.0,190.0,83.0,22.99,Netherlands,2002,Winter,Netherlands,Speed Skating,Silver
Theo Bos,M,20.0,190.0,85.0,23.55,Netherlands,2004,Summer,Netherlands,Cycling,Silver
Willemijn Bos,F,28.0,181.0,69.0,21.06,Netherlands,2016,Summer,Netherlands,Hockey,Silver
Marcelien Bos-de Koning,F,30.0,175.0,62.0,20.24,Netherlands,2008,Summer,Netherlands,Sailing,Silver
Edith Bosch,F,24.0,183.0,70.0,20.9,Netherlands,2004,Summer,Netherlands,Judo,Silver
Edith Bosch,F,28.0,183.0,70.0,20.9,Netherlands,2008,Summer,Netherlands,Judo,Bronze
Edith Bosch,F,32.0,183.0,70.0,20.9,Netherlands,2012,Summer,Netherlands,Judo,Bronze
"Christopher Wesson ""Chris"" Bosh",M,24.0,208.0,104.0,24.04,United States of America,2008,Summer,United States,Basketball,Gold
Miho Bokovi,M,29.0,196.0,96.0,24.99,Croatia,2012,Summer,Croatia,Water Polo,Gold
Tijana Bokovi,F,19.0,193.0,82.0,22.01,Serbia,2016,Summer,Serbia,Volleyball,Silver
Francisco Javier Bosma Mnguez,M,34.0,190.0,86.0,23.82,Spain,2004,Summer,Spain,Beach Volleyball,Silver
Roger-Yves Bost,M,50.0,176.0,80.0,25.83,France,2016,Summer,France,Equestrianism,Gold
Silvia Bosurgi,F,25.0,164.0,59.0,21.94,Italy,2004,Summer,Italy,Water Polo,Gold
Kinga Bta,F,26.0,180.0,69.0,21.3,Hungary,2004,Summer,Hungary,Canoeing,Silver
Jennifer Lori Botterill,F,22.0,175.0,71.0,23.18,Canada,2002,Winter,Canada,Ice Hockey,Gold
Jennifer Lori Botterill,F,26.0,175.0,71.0,23.18,Canada,2006,Winter,Canada,Ice Hockey,Gold
Jennifer Lori Botterill,F,30.0,175.0,71.0,23.18,Canada,2010,Winter,Canada,Ice Hockey,Gold
Mikhail Botvinov,M,34.0,185.0,80.0,23.37,Austria,2002,Winter,Austria,Cross Country Skiing,Silver
Mikhail Botvinov,M,38.0,185.0,80.0,23.37,Austria,2006,Winter,Austria,Cross Country Skiing,Bronze
David Alasdair Boudia,M,23.0,175.0,73.0,23.84,United States of America,2012,Summer,United States,Diving,Gold
David Alasdair Boudia,M,23.0,175.0,73.0,23.84,United States of America,2012,Summer,United States,Diving,Bronze
David Alasdair Boudia,M,27.0,175.0,73.0,23.84,United States of America,2016,Summer,United States,Diving,Bronze
David Alasdair Boudia,M,27.0,175.0,73.0,23.84,United States of America,2016,Summer,United States,Diving,Silver
Thomas Bouhail,M,22.0,166.0,61.0,22.14,France,2008,Summer,France,Gymnastics,Silver
Mickal Stphane Bourgain,M,24.0,181.0,77.0,23.5,France,2004,Summer,France,Cycling,Bronze
Mickal Stphane Bourgain,M,28.0,181.0,77.0,23.5,France,2008,Summer,France,Cycling,Bronze
Mickal Stphane Bourgain,M,28.0,181.0,77.0,23.5,France,2008,Summer,France,Cycling,Silver
"Frdric Thierry Roger ""Frd"" Bousquet",M,27.0,188.0,86.0,24.33,France,2008,Summer,France,Swimming,Silver
Carline Bouw,F,27.0,184.0,72.0,21.27,Netherlands,2012,Summer,Netherlands,Rowing,Bronze
Carline Bouw,F,31.0,184.0,72.0,21.27,Netherlands,2016,Summer,Netherlands,Rowing,Silver
Jay Daniel Bouwmeester,M,30.0,193.0,95.0,25.5,Canada,2014,Winter,Canada,Ice Hockey,Gold
Marit Bouwmeester,F,24.0,177.0,68.0,21.71,Netherlands,2012,Summer,Netherlands,Sailing,Silver
Marit Bouwmeester,F,28.0,177.0,68.0,21.71,Netherlands,2016,Summer,Netherlands,Sailing,Gold
Cesare Bovo,M,21.0,181.0,75.0,22.89,Italy,2004,Summer,Italy,Football,Bronze
Arnaud Bovolenta,M,25.0,170.0,92.0,31.83,France,2014,Winter,France,Freestyle Skiing,Silver
Jodie Bowering,F,26.0,167.0,67.0,24.02,Australia,2008,Summer,Australia,Softball,Bronze
"Frentorish ""Tori"" Bowie",F,25.0,175.0,58.0,18.94,United States of America,2016,Summer,United States,Athletics,Silver
"Frentorish ""Tori"" Bowie",F,25.0,175.0,58.0,18.94,United States of America,2016,Summer,United States,Athletics,Bronze
"Frentorish ""Tori"" Bowie",F,25.0,175.0,58.0,18.94,United States of America,2016,Summer,United States,Athletics,Gold
"Maddison Michelle ""Maddie"" Bowman",F,20.0,155.0,63.0,26.22,United States of America,2014,Winter,United States,Freestyle Skiing,Gold
Heather Erin Bown,F,29.0,188.0,90.0,25.46,United States of America,2008,Summer,United States,Volleyball,Silver
Shannon Leigh Boxx,F,27.0,172.0,67.0,22.65,United States of America,2004,Summer,United States,Football,Gold
Shannon Leigh Boxx,F,31.0,172.0,67.0,22.65,United States of America,2008,Summer,United States,Football,Gold
Shannon Leigh Boxx,F,35.0,172.0,67.0,22.65,United States of America,2012,Summer,United States,Football,Gold
Svetlana Sergeyevna Boyarkina-Zhurova,F,34.0,176.0,64.0,20.66,Russia,2006,Winter,Russia,Speed Skating,Gold
Micah Nathan Boyd,M,26.0,191.0,95.0,26.04,United States of America,2008,Summer,United States,Rowing,Bronze
Svetlana Anatolyevna Boyko,F,36.0,180.0,63.0,19.44,Russia,2008,Summer,Russia,Fencing,Gold
"Daniel Denis ""Dan"" Boyle",M,33.0,180.0,86.0,26.54,Canada,2010,Winter,Canada,Ice Hockey,Gold
Megan Bozek,F,22.0,173.0,77.0,25.73,United States of America,2014,Winter,United States,Ice Hockey,Silver
Mathieu Ren Bozzetto,M,36.0,186.0,90.0,26.01,France,2010,Winter,France,Snowboarding,Bronze
Tarjei B,M,21.0,185.0,77.0,22.5,Norway,2010,Winter,Norway,Biathlon,Gold
Hvard Bkko,M,23.0,182.0,76.0,22.94,Norway,2010,Winter,Norway,Speed Skating,Bronze
"Jules Timothy ""Tim"" Brabants",M,31.0,189.0,88.0,24.64,United Kingdom,2008,Summer,Great Britain,Canoeing,Bronze
"Jules Timothy ""Tim"" Brabants",M,31.0,189.0,88.0,24.64,United Kingdom,2008,Summer,Great Britain,Canoeing,Gold
Steven John Bradbury,M,28.0,178.0,80.0,25.25,Australia,2002,Winter,Australia,Short Track Speed Skating,Gold
Amber Bradley,F,24.0,178.0,74.0,23.36,Australia,2004,Summer,Australia,Rowing,Bronze
Oscar Ren Braison Vidal,M,23.0,188.0,135.0,38.2,Cuba,2008,Summer,Cuba,Judo,Bronze
Jeanette Brakewell,F,30.0,169.0,60.0,21.01,United Kingdom,2004,Summer,Great Britain,Equestrianism,Silver
Jovana Brakoevi-Kancian,F,28.0,196.0,82.0,21.35,Serbia,2016,Summer,Serbia,Volleyball,Silver
Iain Brambell,M,34.0,185.0,73.0,21.33,Canada,2008,Summer,Canada,Rowing,Bronze
Julian Brandt,M,20.0,183.0,83.0,24.78,Germany,2016,Summer,Germany,Football,Silver
Ana Maria Florentina Brnz-Popescu,F,23.0,175.0,64.0,20.9,Romania,2008,Summer,Romania,Fencing,Silver
Ana Maria Florentina Brnz-Popescu,F,31.0,175.0,64.0,20.9,Romania,2016,Summer,Romania,Fencing,Gold
Scott Brash,M,26.0,171.0,64.0,21.89,United Kingdom,2012,Summer,Great Britain,Equestrianism,Gold
Sophie Charlotte Bray,F,26.0,164.0,58.0,21.56,United Kingdom,2016,Summer,Great Britain,Hockey,Gold
Thiago Braz da Silva,M,22.0,183.0,75.0,22.4,Brazil,2016,Summer,Brazil,Athletics,Gold
Kelly Brazier,F,26.0,171.0,70.0,23.94,New Zealand,2016,Summer,New Zealand,Rugby Sevens,Silver
Elaine Breeden (-Penrose),F,19.0,180.0,73.0,22.53,United States of America,2008,Summer,United States,Swimming,Silver
Karoline Charlotte Dyhre Breivang,F,28.0,172.0,73.77,24.94,Norway,2008,Summer,Norway,Handball,Gold
Karoline Charlotte Dyhre Breivang,F,32.0,172.0,73.77,24.94,Norway,2012,Summer,Norway,Handball,Gold
Emiliano Brembilla,M,25.0,185.0,78.0,22.79,Italy,2004,Summer,Italy,Swimming,Bronze
Sebastian Brendel,M,24.0,192.0,92.0,24.96,Germany,2012,Summer,Germany,Canoeing,Gold
Sebastian Brendel,M,28.0,192.0,92.0,24.96,Germany,2016,Summer,Germany,Canoeing,Gold
Sebastian Brendel,M,28.0,192.0,92.0,24.96,Germany,2016,Summer,Germany,Canoeing,Gold
Michael Gene Brennan,M,28.0,182.0,79.0,23.85,Australia,2004,Summer,Australia,Hockey,Gold
Scott Michael Brennan,M,25.0,193.0,89.0,23.89,Australia,2008,Summer,Australia,Rowing,Gold
Veronica Brenner,F,27.0,171.0,61.0,20.86,Canada,2002,Winter,Canada,Freestyle Skiing,Silver
Breno Vinicius Rodrigues Borges,M,18.0,187.0,88.0,25.17,Brazil,2008,Summer,Brazil,Football,Bronze
Bart Jan-Baptist Marie Brentjens,M,35.0,188.0,79.0,22.35,Netherlands,2004,Summer,Netherlands,Cycling,Bronze
Linda Bresonik,F,24.0,175.0,60.0,19.59,Germany,2008,Summer,Germany,Football,Bronze
Julie Bresset,F,23.0,167.0,53.0,19.0,France,2012,Summer,France,Cycling,Gold
Derrick Keith Brew,M,26.0,185.0,81.0,23.67,United States of America,2004,Summer,United States,Athletics,Bronze
Derrick Keith Brew,M,26.0,185.0,81.0,23.67,United States of America,2004,Summer,United States,Athletics,Gold
Eric Charles Brewer,M,22.0,191.0,100.0,27.41,Canada,2002,Winter,Canada,Ice Hockey,Gold
"Thomas Robert ""Tom"" Brice",M,22.0,195.0,98.0,25.77,Australia,2004,Summer,Australia,Baseball,Silver
George Spencer Bridgewater,M,25.0,200.0,97.0,24.25,New Zealand,2008,Summer,New Zealand,Rowing,Bronze
Torah Jane Bright (-Thomson),F,23.0,161.0,57.0,21.99,Australia,2010,Winter,Australia,Snowboarding,Gold
Torah Jane Bright (-Thomson),F,27.0,161.0,57.0,21.99,Australia,2014,Winter,Australia,Snowboarding,Silver
Julius Brink,M,30.0,186.0,85.0,24.57,Germany,2012,Summer,Germany-1,Beach Volleyball,Gold
Christine Brinker-Wenzel,F,27.0,171.0,63.0,21.55,Germany,2008,Summer,Germany,Shooting,Bronze
Thrse Anne Brisson,F,35.0,170.0,68.0,23.53,Canada,2002,Winter,Canada,Ice Hockey,Gold
Grant Tyson Brits,M,20.0,188.0,80.0,22.63,Australia,2008,Summer,Australia,Swimming,Bronze
Brittany Broben,F,16.0,163.0,52.0,19.57,Australia,2012,Summer,Australia,Diving,Silver
Allison M. Brock,F,36.0,168.0,59.0,20.9,United States of America,2016,Summer,United States,Equestrianism,Bronze
Norman Brckl,M,21.0,183.0,90.0,26.87,Germany,2008,Summer,Germany,Canoeing,Bronze
Martin Pierre Brodeur,M,29.0,188.0,95.0,26.88,Canada,2002,Winter,Canada,Ice Hockey,Gold
Martin Pierre Brodeur,M,37.0,188.0,95.0,26.88,Canada,2010,Winter,Canada,Ice Hockey,Gold
Leith Brodie,M,22.0,187.0,84.0,24.02,Australia,2008,Summer,Australia,Swimming,Bronze
Leith Brodie,M,22.0,187.0,84.0,24.02,Australia,2008,Summer,Australia,Swimming,Bronze
"Sandra Anne ""Sandy"" Brondello",F,35.0,170.0,62.0,21.45,Australia,2004,Summer,Australia,Basketball,Silver
Brandon Brooks,M,27.0,198.0,111.0,28.31,United States of America,2008,Summer,United States,Water Polo,Silver
Travis Neil Brooks,M,24.0,186.0,79.0,22.84,Australia,2004,Summer,Australia,Hockey,Gold
Travis Neil Brooks,M,28.0,186.0,79.0,22.84,Australia,2008,Summer,Australia,Hockey,Bronze
Kristina Brring-Sprehe,F,25.0,168.0,54.0,19.13,Germany,2012,Summer,Germany,Equestrianism,Silver
Kristina Brring-Sprehe,F,29.0,168.0,54.0,19.13,Germany,2016,Summer,Germany,Equestrianism,Bronze
Kristina Brring-Sprehe,F,29.0,168.0,54.0,19.13,Germany,2016,Summer,Germany,Equestrianism,Gold
