name,sex,age,height,weight,bmi,country,year,season,team,sport,medal
Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0,25.11,Finland,2014,Winter,Finland,Ice Hockey,Bronze
Kjetil Andr Aamodt,M,30.0,176.0,85.0,27.44,Norway,2002,Winter,Norway,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,30.0,176.0,85.0,27.44,Norway,2002,Winter,Norway,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,34.0,176.0,85.0,27.44,Norway,2006,Winter,Norway,Alpine Skiing,Gold
Ragnhild Margrethe Aamodt,F,27.0,163.0,73.77,27.77,Norway,2008,Summer,Norway,Handball,Gold
Giovanni Abagnale,M,21.0,198.0,90.0,22.96,Italy,2016,Summer,Italy,Rowing,Bronze
Jos Luis Abajo Gmez,M,30.0,194.0,87.0,23.12,Spain,2008,Summer,Spain,Fencing,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,24.97,Russia,2008,Summer,Russia,Athletics,Silver
Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,25.62,Belarus,2008,Summer,Belarus,Canoeing,Gold
Luc Abalo,M,23.0,182.0,86.0,25.96,France,2008,Summer,France,Handball,Gold
Luc Abalo,M,27.0,182.0,86.0,25.96,France,2012,Summer,France,Handball,Gold
Luc Abalo,M,31.0,182.0,86.0,25.96,France,2016,Summer,France,Handball,Silver
Stephen Anthony Abas,M,26.0,165.0,55.0,20.2,United States of America,2004,Summer,United States,Wrestling,Silver
Tamila Rashidovna Abasova,F,21.0,163.0,60.0,22.58,Russia,2004,Summer,Russia,Cycling,Silver
Jol Marc Abati,M,38.0,190.0,85.0,23.55,France,2008,Summer,France,Handball,Gold
"Desmond ""Des"" Abbott",M,21.0,184.0,87.0,25.7,Australia,2008,Summer,Australia,Hockey,Bronze
Jeremy Abbott,M,28.0,175.0,70.0,22.86,United States of America,2014,Winter,United States,Figure Skating,Bronze
Monica Cecilia Abbott,F,23.0,191.0,88.0,24.12,United States of America,2008,Summer,United States,Softball,Silver
Nia Nicole Abdallah,F,20.0,175.0,56.0,18.29,United States of America,2004,Summer,United States,Taekwondo,Silver
Jennifer Abel,F,20.0,160.0,62.0,24.22,Canada,2012,Summer,Canada,Diving,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,23.92,Russia,2012,Summer,Russia,Gymnastics,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,23.92,Russia,2012,Summer,Russia,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Russia,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Russia,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Russia,Gymnastics,Bronze
"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,23.71,Australia,2016,Summer,Australia,Swimming,Bronze
Ara Abrahamian,M,29.0,191.0,84.0,23.03,Sweden,2004,Summer,Sweden,Wrestling,Silver
Pavel Sergeyevich Abramov,M,25.0,198.0,89.0,22.7,Russia,2004,Summer,Russia,Volleyball,Bronze
Yekaterina Konstantinovna Abramova,F,23.0,167.0,65.0,23.31,Russia,2006,Winter,Russia,Speed Skating,Bronze
"Alejandro ""lex"" Abrines Redondo",M,23.0,198.0,93.0,23.72,Spain,2016,Summer,Spain,Basketball,Bronze
Svetlana Olegovna Abrosimova,F,28.0,188.0,77.0,21.79,Russia,2008,Summer,Russia,Basketball,Bronze
Julien Absalon,M,23.0,180.0,68.0,20.99,France,2004,Summer,France,Cycling,Gold
Julien Absalon,M,27.0,180.0,68.0,20.99,France,2008,Summer,France,Cycling,Gold
Andreea Roxana Acatrinei,F,16.0,150.0,40.0,17.78,Romania,2008,Summer,Romania,Gymnastics,Bronze
William Accambray,M,24.0,194.0,104.0,27.63,France,2012,Summer,France,Handball,Gold
Chantal Achterberg,F,27.0,172.0,72.0,24.34,Netherlands,2012,Summer,Netherlands,Rowing,Bronze
Chantal Achterberg,F,31.0,172.0,72.0,24.34,Netherlands,2016,Summer,Netherlands,Rowing,Silver
Ronny Ackermann,M,24.0,184.0,69.0,20.38,Germany,2002,Winter,Germany,Nordic Combined,Silver
Ronny Ackermann,M,24.0,184.0,69.0,20.38,Germany,2002,Winter,Germany,Nordic Combined,Silver
Ronny Ackermann,M,28.0,184.0,69.0,20.38,Germany,2006,Winter,Germany,Nordic Combined,Silver
Lautaro Germn Acosta,M,20.0,168.0,72.0,25.51,Argentina,2008,Summer,Argentina,Football,Gold
Osmay Acosta Duarte,M,23.0,188.0,91.0,25.75,Cuba,2008,Summer,Cuba,Boxing,Bronze
"Michael B. ""Mike"" Adam",M,24.0,175.0,95.0,31.02,Canada,2006,Winter,Canada,Curling,Gold
Nicola Virginia Adams,F,29.0,164.0,51.0,18.96,United Kingdom,2012,Summer,Great Britain,Boxing,Gold
Nicola Virginia Adams,F,33.0,164.0,51.0,18.96,United Kingdom,2016,Summer,Great Britain,Boxing,Gold
Rachael Alexis Adams,F,26.0,188.0,81.0,22.92,United States of America,2016,Summer,United States,Volleyball,Bronze
"Victoria ""Vicki"" Adams",F,24.0,164.0,69.0,25.65,United Kingdom,2014,Winter,Great Britain,Curling,Bronze
Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,32.22,New Zealand,2008,Summer,New Zealand,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,32.22,New Zealand,2012,Summer,New Zealand,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,32.22,New Zealand,2016,Summer,New Zealand,Athletics,Silver
Filip Kamil Adamski,M,29.0,189.0,87.0,24.36,Germany,2012,Summer,Germany,Rowing,Gold
Adenzia Aparecida Ferreira da Silva,F,25.0,187.0,65.0,18.59,Brazil,2012,Summer,Brazil,Volleyball,Gold
"Richard ""Richy""  Adjei",M,27.0,190.0,110.0,30.47,Germany,2010,Winter,Germany-2,Bobsleigh,Silver
"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,21.85,United Kingdom,2008,Summer,Great Britain,Swimming,Gold
"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,21.85,United Kingdom,2008,Summer,Great Britain,Swimming,Gold
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,21.85,United Kingdom,2012,Summer,Great Britain,Swimming,Bronze
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,21.85,United Kingdom,2012,Summer,Great Britain,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,19.0,198.0,100.0,25.51,United States of America,2008,Summer,United States,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,United States,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,United States,Swimming,Silver
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,United States,Swimming,Gold
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,United States,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,United States,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,United States,Swimming,Gold
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,United States,Swimming,Gold
Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,19.23,Russia,2012,Summer,Russia,Gymnastics,Silver
Maksim Sergeyevich Afinogenov,M,22.0,183.0,88.0,26.28,Russia,2002,Winter,Russia,Ice Hockey,Bronze
Luca Agamennoni,M,24.0,187.0,93.0,26.59,Italy,2004,Summer,Italy,Rowing,Bronze
Luca Agamennoni,M,27.0,187.0,93.0,26.59,Italy,2008,Summer,Italy,Rowing,Silver
Clarisse Agbegnenou,F,23.0,164.0,66.0,24.54,France,2016,Summer,France,Judo,Silver
Marilyn Agliotti,F,29.0,172.0,58.0,19.61,Netherlands,2008,Summer,Netherlands,Hockey,Gold
Marilyn Agliotti,F,33.0,172.0,58.0,19.61,Netherlands,2012,Summer,Netherlands,Hockey,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,France,Swimming,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,France,Swimming,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,France,Swimming,Silver
Meghan Christina Agosta (-Marciano),F,18.0,168.0,67.0,23.74,Canada,2006,Winter,Canada,Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,23.0,168.0,67.0,23.74,Canada,2010,Winter,Canada,Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,26.0,168.0,67.0,23.74,Canada,2014,Winter,Canada,Ice Hockey,Gold
"Benjamin Alexandro ""Ben"" Agosto",M,24.0,178.0,75.0,23.67,United States of America,2006,Winter,United States-1,Figure Skating,Silver
Sergio Leonel Agero del Castillo,M,20.0,172.0,74.0,25.01,Argentina,2008,Summer,Argentina,Football,Gold
Macarena Aguilar Daz,F,27.0,170.0,67.0,23.18,Spain,2012,Summer,Spain,Handball,Bronze
Sandra Aguilar Navarro,F,23.0,167.0,50.0,17.93,Spain,2016,Summer,Spain,Rhythmic Gymnastics,Silver
Robyn Mokihana Ah Mow-Santos,F,32.0,172.0,67.0,22.65,United States of America,2008,Summer,United States,Volleyball,Silver
Annica Gunilla hln,F,27.0,177.0,75.0,23.94,Sweden,2002,Winter,Sweden,Ice Hockey,Bronze
Christian Ahlmann,M,29.0,189.0,80.0,22.4,Germany,2004,Summer,Germany,Equestrianism,Bronze
Christian Ahlmann,M,41.0,189.0,80.0,22.4,Germany,2016,Summer,Germany,Equestrianism,Bronze
Janne Petteri Ahonen,M,24.0,184.0,66.0,19.49,Finland,2002,Winter,Finland,Ski Jumping,Silver
Janne Petteri Ahonen,M,28.0,184.0,66.0,19.49,Finland,2006,Winter,Finland,Ski Jumping,Silver
"Christian ""Chris"" Ahrens",M,28.0,195.0,97.0,25.51,United States of America,2004,Summer,United States,Rowing,Gold
Matteo Aicardi,M,26.0,192.0,102.0,27.67,Italy,2012,Summer,Italy,Water Polo,Silver
Matteo Aicardi,M,30.0,192.0,102.0,27.67,Italy,2016,Summer,Italy,Water Polo,Bronze
Mara Magdalena Aicega Amicarelli,F,30.0,165.0,60.0,22.04,Argentina,2004,Summer,Argentina,Hockey,Bronze
Mara Magdalena Aicega Amicarelli,F,34.0,165.0,60.0,22.04,Argentina,2008,Summer,Argentina,Hockey,Bronze
Rosaria Aiello,F,27.0,172.0,74.0,25.01,Italy,2016,Summer,Italy,Water Polo,Silver
Hannes Aigner,M,23.0,183.0,75.0,22.4,Germany,2012,Summer,Germany,Canoeing,Bronze
Ryoji Aikawa,M,28.0,183.0,85.0,25.38,Japan,2004,Summer,Japan,Baseball,Bronze
"Charles Benedict ""Ben"" Ainslie",M,27.0,183.0,90.0,26.87,United Kingdom,2004,Summer,Great Britain,Sailing,Gold
"Charles Benedict ""Ben"" Ainslie",M,31.0,183.0,90.0,26.87,United Kingdom,2008,Summer,Great Britain,Sailing,Gold
"Charles Benedict ""Ben"" Ainslie",M,35.0,183.0,90.0,26.87,United Kingdom,2012,Summer,Great Britain,Sailing,Gold
Artur Surenovych Aivazian,M,35.0,177.0,88.0,28.09,Ukraine,2008,Summer,Ukraine,Shooting,Gold
Mobolade Abimbola Ajomale,M,20.0,180.0,62.0,19.14,Canada,2016,Summer,Canada,Athletics,Bronze
Albina Khamitovna Akhatova,F,25.0,160.0,55.0,21.48,Russia,2002,Winter,Russia,Biathlon,Bronze
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,21.48,Russia,2006,Winter,Russia,Biathlon,Bronze
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,21.48,Russia,2006,Winter,Russia,Biathlon,Bronze
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,21.48,Russia,2006,Winter,Russia,Biathlon,Gold
Artur Kamilevich Akhmatkhuzin,M,28.0,187.0,79.0,22.59,Russia,2016,Summer,Russia,Fencing,Gold
Bakhtiyar Shakhabutdinovich Akhmedov,M,21.0,190.0,120.0,33.24,Russia,2008,Summer,Russia,Wrestling,Silver
Morolake Akinosun,F,22.0,163.0,61.0,22.96,United States of America,2016,Summer,United States,Athletics,Gold
Foluke Antinuke Akinradewo,F,24.0,191.0,79.0,21.66,United States of America,2012,Summer,United States,Volleyball,Silver
Foluke Antinuke Akinradewo,F,28.0,191.0,79.0,21.66,United States of America,2016,Summer,United States,Volleyball,Bronze
Khadzhimurat Magomedovich Akkayev,M,19.0,178.0,105.0,33.14,Russia,2004,Summer,Russia,Weightlifting,Silver
Khadzhimurat Magomedovich Akkayev,M,23.0,178.0,105.0,33.14,Russia,2008,Summer,Russia,Weightlifting,Bronze
Monica Aksamit,F,26.0,183.0,74.0,22.1,United States of America,2016,Summer,United States,Fencing,Bronze
Marina Alabau Neira,F,26.0,164.0,55.0,20.45,Spain,2012,Summer,Spain,Sailing,Gold
Ruslan Vladimirovich Albegov,M,24.0,192.0,156.0,42.32,Russia,2012,Summer,Russia,Weightlifting,Bronze
Nely Carla Alberto Francisca,F,29.0,179.0,90.0,28.09,Spain,2012,Summer,Spain,Handball,Bronze
Islam-Beka Said-Tsilimovich Albiyev,M,19.0,165.0,66.0,24.24,Russia,2008,Summer,Russia,Wrestling,Gold
Brigitte Albrecht-Loretan,F,31.0,175.0,64.0,20.9,Switzerland,2002,Winter,Switzerland,Cross Country Skiing,Bronze
David Alegre Biosca,M,23.0,184.0,75.0,22.15,Spain,2008,Summer,Spain,Hockey,Silver
Ramn Alegre Biosca,M,27.0,171.0,71.0,24.28,Spain,2008,Summer,Spain,Hockey,Silver
Jo Qesem Ayela Aleh,F,26.0,171.0,58.0,19.84,New Zealand,2012,Summer,New Zealand,Sailing,Gold
Jo Qesem Ayela Aleh,F,30.0,171.0,58.0,19.84,New Zealand,2016,Summer,New Zealand,Sailing,Silver
Milan Aleksi,M,26.0,193.0,96.0,25.77,Serbia,2012,Summer,Serbia,Water Polo,Bronze
Milan Aleksi,M,30.0,193.0,96.0,25.77,Serbia,2016,Summer,Serbia,Water Polo,Gold
Alex Sandro Lobo Silva,M,21.0,177.0,60.0,19.15,Brazil,2012,Summer,Brazil,Football,Silver
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,18.0,179.0,71.0,22.16,Brazil,2008,Summer,Brazil,Football,Bronze
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,22.0,179.0,71.0,22.16,Brazil,2012,Summer,Brazil,Football,Silver
Hans Daniel Alfredsson,M,33.0,182.0,92.0,27.77,Sweden,2006,Winter,Sweden,Ice Hockey,Gold
Hans Daniel Alfredsson,M,41.0,182.0,92.0,27.77,Sweden,2014,Winter,Sweden,Ice Hockey,Silver
Sara Anneli Algotsson Ostholt,F,37.0,163.0,56.0,21.08,Sweden,2012,Summer,Sweden,Equestrianism,Silver
Nia Sifaatihii Ali,F,27.0,170.0,65.0,22.49,United States of America,2016,Summer,United States,Athletics,Silver
Sergey Gennadyevich Alifirenko,M,45.0,168.0,72.0,25.51,Russia,2004,Summer,Russia,Shooting,Bronze
Mirko Alilovi,M,26.0,200.0,110.0,27.5,Croatia,2012,Summer,Croatia,Handball,Bronze
Aline Pellegrino,F,22.0,180.0,71.0,21.91,Brazil,2004,Summer,Brazil,Football,Silver
Aleksey Aleksandrovich Alipov,M,29.0,175.0,80.0,26.12,Russia,2004,Summer,Russia,Shooting,Gold
Aleksey Aleksandrovich Alipov,M,32.0,175.0,80.0,26.12,Russia,2008,Summer,Russia,Shooting,Bronze
Alison Conte Cerutti,M,26.0,203.0,106.0,25.72,Brazil,2012,Summer,Brazil-1,Beach Volleyball,Silver
Alison Conte Cerutti,M,30.0,203.0,106.0,25.72,Brazil,2016,Summer,Brazil-1,Beach Volleyball,Gold
Margarita Sergeyevna Aliychuk,F,17.0,174.0,48.0,15.85,Russia,2008,Summer,Russia,Rhythmic Gymnastics,Gold
"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",F,34.0,163.0,53.0,19.95,Austria,2004,Summer,Austria,Triathlon,Gold
Wyatt Allen,M,25.0,193.0,98.0,26.31,United States of America,2004,Summer,United States,Rowing,Gold
Wyatt Allen,M,29.0,193.0,98.0,26.31,United States of America,2008,Summer,United States,Rowing,Bronze
"Sandra Louise ""Sandy"" Allen-Lewis",F,25.0,170.0,59.0,20.42,Australia,2004,Summer,Australia,Softball,Silver
"Sandra Louise ""Sandy"" Allen-Lewis",F,29.0,170.0,59.0,20.42,Australia,2008,Summer,Australia,Softball,Bronze
Carmela Allucci,F,34.0,167.0,60.0,21.51,Italy,2004,Summer,Italy,Water Polo,Gold
"sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)",F,29.0,170.0,69.0,23.88,Sweden,2002,Winter,Sweden,Ice Hockey,Bronze
Jessica Alonso Bernardo,F,28.0,172.0,65.0,21.97,Spain,2012,Summer,Spain,Handball,Bronze
"Mikhail Surenovich ""Misha"" Aloyan",M,23.0,164.0,52.0,19.33,Russia,2012,Summer,Russia,Boxing,Bronze
Thomas Alsgaard (Alsgrd-),M,30.0,190.0,82.0,22.71,Norway,2002,Winter,Norway,Cross Country Skiing,Gold
Thomas Alsgaard (Alsgrd-),M,30.0,190.0,82.0,22.71,Norway,2002,Winter,Norway,Cross Country Skiing,Gold
Ida Alstad,F,27.0,172.0,60.0,20.28,Norway,2012,Summer,Norway,Handball,Gold
Ida Alstad,F,31.0,172.0,60.0,20.28,Norway,2016,Summer,Norway,Handball,Bronze
Lutz Altepost,M,26.0,193.0,92.0,24.7,Germany,2008,Summer,Germany,Canoeing,Bronze
Livia Altmann,F,19.0,165.0,64.0,23.51,Switzerland,2014,Winter,Switzerland,Ice Hockey,Bronze
"Eduardo C. ""Eddy"" Alvarez",M,24.0,175.0,72.0,23.51,United States of America,2014,Winter,United States,Short Track Speed Skating,Silver
Lzaro Jorge lvarez Estrada,M,21.0,173.0,60.0,20.05,Cuba,2012,Summer,Cuba,Boxing,Bronze
Lzaro Jorge lvarez Estrada,M,25.0,173.0,60.0,20.05,Cuba,2016,Summer,Cuba,Boxing,Bronze
Thiago Soares Alves,M,25.0,194.0,88.0,23.38,Brazil,2012,Summer,Brazil,Volleyball,Silver
Ivan Vladimirovich Alypov,M,23.0,169.0,60.0,21.01,Russia,2006,Winter,Russia,Cross Country Skiing,Bronze
Catello Amarante,M,24.0,177.0,73.0,23.3,Italy,2004,Summer,Italy,Rowing,Bronze
"Pablo ""Pol"" Amat Escud",M,30.0,183.0,78.0,23.29,Spain,2008,Summer,Spain,Hockey,Silver
Sbastien Amiez,M,29.0,180.0,87.0,26.85,France,2002,Winter,France,Alpine Skiing,Silver
Salvatore Amitrano,M,28.0,184.0,73.0,21.56,Italy,2004,Summer,Italy,Rowing,Bronze
Simon Ammann,M,20.0,171.0,55.0,18.81,Switzerland,2002,Winter,Switzerland,Ski Jumping,Gold
Simon Ammann,M,20.0,171.0,55.0,18.81,Switzerland,2002,Winter,Switzerland,Ski Jumping,Gold
Simon Ammann,M,28.0,171.0,55.0,18.81,Switzerland,2010,Winter,Switzerland,Ski Jumping,Gold
Simon Ammann,M,28.0,171.0,55.0,18.81,Switzerland,2010,Winter,Switzerland,Ski Jumping,Gold
"Anthony Lewis ""Tony"" Amonte",M,31.0,183.0,91.0,27.17,United States of America,2002,Winter,United States,Ice Hockey,Silver
Vanessa Amors Quiles,F,29.0,165.0,62.0,22.77,Spain,2012,Summer,Spain,Handball,Bronze
An Ba-Ul,M,22.0,169.0,66.0,23.11,South Korea,2016,Summer,South Korea,Judo,Silver
An Jeong-Hwa,F,27.0,162.0,62.0,23.62,South Korea,2008,Summer,South Korea,Handball,Bronze
An Kum-Ae,F,28.0,160.0,52.0,20.31,South Korea,2008,Summer,North Korea,Judo,Silver
An Kum-Ae,F,32.0,160.0,52.0,20.31,South Korea,2012,Summer,North Korea,Judo,Gold
Viktor An,M,20.0,170.0,65.0,22.49,South Korea,2006,Winter,South Korea,Short Track Speed Skating,Bronze
Viktor An,M,20.0,170.0,65.0,22.49,South Korea,2006,Winter,South Korea,Short Track Speed Skating,Gold
Viktor An,M,20.0,170.0,65.0,22.49,South Korea,2006,Winter,South Korea,Short Track Speed Skating,Gold
Viktor An,M,20.0,170.0,65.0,22.49,South Korea,2006,Winter,South Korea,Short Track Speed Skating,Gold
Viktor An,M,28.0,170.0,65.0,22.49,Russia,2014,Winter,Russia,Short Track Speed Skating,Gold
Viktor An,M,28.0,170.0,65.0,22.49,Russia,2014,Winter,Russia,Short Track Speed Skating,Gold
Viktor An,M,28.0,170.0,65.0,22.49,Russia,2014,Winter,Russia,Short Track Speed Skating,Bronze
Viktor An,M,28.0,170.0,65.0,22.49,Russia,2014,Winter,Russia,Short Track Speed Skating,Gold
An Yulong,M,23.0,173.0,70.0,23.39,China,2002,Winter,China,Short Track Speed Skating,Bronze
Mario Ani,M,20.0,195.0,84.0,22.09,Croatia,2004,Summer,Croatia,Tennis,Bronze
milie Andol,F,28.0,170.0,97.0,33.56,France,2016,Summer,France,Judo,Gold
"Stefan ""Steve"" Anderhub",M,31.0,187.0,104.0,29.74,Switzerland,2002,Winter,Switzerland-1,Bobsleigh,Silver
Anne Dsane Andersen,F,23.0,183.0,86.0,25.68,Denmark,2016,Summer,Denmark,Rowing,Bronze
Kristine Andersen,F,28.0,172.0,72.0,24.34,Denmark,2004,Summer,Denmark,Handball,Gold
Mads Christian Kruse Andersen,M,30.0,187.0,75.0,21.45,Denmark,2008,Summer,Denmark,Rowing,Gold
nderson Lus de Abreu Oliveira,M,20.0,176.0,77.0,24.86,Brazil,2008,Summer,Brazil,Football,Bronze
Anderson de Oliveira Rodrigues,M,30.0,190.0,95.0,26.32,Brazil,2004,Summer,Brazil,Volleyball,Gold
Anderson de Oliveira Rodrigues,M,34.0,190.0,95.0,26.32,Brazil,2008,Summer,Brazil,Volleyball,Silver
Alyssa Jean Anderson,F,21.0,173.0,64.0,21.38,United States of America,2012,Summer,United States,Swimming,Gold
Brett Franklin Anderson,M,20.0,193.0,104.0,27.92,United States of America,2008,Summer,United States,Baseball,Bronze
Craig Anthony Anderson,M,23.0,187.0,86.0,24.59,Australia,2004,Summer,Australia,Baseball,Silver
Haley Danita Anderson,F,20.0,178.0,68.0,21.46,United States of America,2012,Summer,United States,Swimming,Silver
Jamie Louise Anderson,F,23.0,160.0,54.0,21.09,United States of America,2014,Winter,United States,Snowboarding,Gold
Jasey-Jay Anderson,M,34.0,178.0,80.0,25.25,Canada,2010,Winter,Canada,Snowboarding,Gold
"Matthew John ""Matt"" Anderson",M,29.0,202.0,100.0,24.51,United States of America,2016,Summer,United States,Volleyball,Bronze
Anna Christina Andersson,F,20.0,169.0,63.0,22.06,Sweden,2002,Winter,Sweden,Ice Hockey,Bronze
Cecilia Christine Elisabeth Andersson,F,23.0,179.0,74.0,23.1,Sweden,2006,Winter,Sweden,Ice Hockey,Silver
Gunilla Victoria Andersson,F,26.0,169.0,69.0,24.16,Sweden,2002,Winter,Sweden,Ice Hockey,Bronze
Gunilla Victoria Andersson,F,30.0,169.0,69.0,24.16,Sweden,2006,Winter,Sweden,Ice Hockey,Silver
Jonna Andersson,F,23.0,167.0,61.0,21.87,Sweden,2016,Summer,Sweden,Football,Silver
Kim Verner Andersson,M,29.0,200.0,105.0,26.25,Sweden,2012,Summer,Sweden,Handball,Silver
Lina Marie Andersson,F,24.0,158.0,58.0,23.23,Sweden,2006,Winter,Sweden,Cross Country Skiing,Gold
Erik Mattias Andersson,M,34.0,186.0,95.0,27.46,Sweden,2012,Summer,Sweden,Handball,Silver
Kozue Ando,F,30.0,164.0,57.0,21.19,Japan,2012,Summer,Japan,Football,Silver
Yuya Ando,M,26.0,183.0,89.0,26.58,Japan,2004,Summer,Japan,Baseball,Bronze
Gunn Margit Aas Andreassen,F,28.0,177.0,60.0,19.15,Norway,2002,Winter,Norway,Biathlon,Silver
Andria Suntaque,F,26.0,175.0,65.0,21.22,Brazil,2004,Summer,Brazil,Football,Silver
Andria Suntaque,F,30.0,175.0,65.0,21.22,Brazil,2008,Summer,Brazil,Football,Silver
Frode Andresen,M,28.0,191.0,76.0,20.83,Norway,2002,Winter,Norway,Biathlon,Gold
Frode Andresen,M,32.0,191.0,76.0,20.83,Norway,2006,Winter,Norway,Biathlon,Bronze
Scott Andrews,M,24.0,175.0,85.0,27.76,United Kingdom,2014,Winter,Great Britain,Curling,Silver
Valeriy Oleksandrovych Andriitsev,M,25.0,181.0,97.0,29.61,Ukraine,2012,Summer,Ukraine,Wrestling,Silver
Yekaterina Sergeyevna Andryushina,F,22.0,185.0,70.0,20.45,Russia,2008,Summer,Russia,Handball,Silver
Matteo Anesi,M,21.0,185.0,81.0,23.67,Italy,2006,Winter,Italy,Speed Skating,Gold
Nadine Marejke Angerer,F,29.0,174.0,70.0,23.12,Germany,2008,Summer,Germany,Football,Bronze
Tobias Angerer,M,24.0,179.0,72.0,22.47,Germany,2002,Winter,Germany,Cross Country Skiing,Bronze
Tobias Angerer,M,28.0,179.0,72.0,22.47,Germany,2006,Winter,Germany,Cross Country Skiing,Bronze
Tobias Angerer,M,28.0,179.0,72.0,22.47,Germany,2006,Winter,Germany,Cross Country Skiing,Silver
Tobias Angerer,M,32.0,179.0,72.0,22.47,Germany,2010,Winter,Germany,Cross Country Skiing,Silver
Marina Vyacheslavovna Anissina (-Dzhigurda),F,26.0,162.0,52.0,19.81,France,2002,Winter,France-1,Figure Skating,Gold
Martin Annen,M,27.0,181.0,98.0,29.91,Switzerland,2002,Winter,Switzerland-2,Bobsleigh,Bronze
Martin Annen,M,31.0,181.0,98.0,29.91,Switzerland,2006,Winter,Switzerland-1,Bobsleigh,Bronze
Martin Annen,M,31.0,181.0,98.0,29.91,Switzerland,2006,Winter,Switzerland-1,Bobsleigh,Bronze
Noriko Anno,F,28.0,162.0,76.0,28.96,Japan,2004,Summer,Japan,Judo,Gold
Roman Sergeyevich Anoshkin,M,28.0,192.0,95.0,25.77,Russia,2016,Summer,Russia,Canoeing,Bronze
Daniela Anschtz-Thoms,F,31.0,165.0,60.0,22.04,Germany,2006,Winter,Germany,Speed Skating,Gold
Daniela Anschtz-Thoms,F,35.0,165.0,60.0,22.04,Germany,2010,Winter,Germany,Speed Skating,Gold
Giselle Anne Ansley,F,24.0,176.0,73.0,23.57,United Kingdom,2016,Summer,Great Britain,Hockey,Gold
Dana Antal,F,24.0,170.0,64.0,22.15,Canada,2002,Winter,Canada,Ice Hockey,Gold
Dborah Jessica Anthonioz,F,31.0,165.0,52.0,19.1,France,2010,Winter,France,Snowboarding,Silver
Carmelo Kyan Anthony,M,20.0,203.0,109.0,26.45,United States of America,2004,Summer,United States,Basketball,Bronze
Carmelo Kyan Anthony,M,24.0,203.0,109.0,26.45,United States of America,2008,Summer,United States,Basketball,Gold
Carmelo Kyan Anthony,M,28.0,203.0,109.0,26.45,United States of America,2012,Summer,United States,Basketball,Gold
Carmelo Kyan Anthony,M,32.0,203.0,109.0,26.45,United States of America,2016,Summer,United States,Basketball,Gold
"Michael E. ""Mike"" Anti",M,40.0,173.0,73.0,24.39,United States of America,2004,Summer,United States,Shooting,Silver
"Matthew ""Matt"" Antoine",M,28.0,190.0,84.0,23.27,United States of America,2014,Winter,United States,Skeleton,Bronze
Michele Antonioli,M,25.0,171.0,69.0,23.6,Italy,2002,Winter,Italy,Short Track Speed Skating,Silver
